site,lat,lon,detections,days_detected,mean_frp
14.61_78.52,14.606081354166667,78.52252385416666,96,94,1.0439583333333333
14.6_78.52,14.604604615384615,78.52235384615385,26,26,1.0688461538461538
14.87_78.05,14.873060151515151,78.05242863636363,132,120,2.0149242424242426
14.87_78.06,14.87305,78.055155,2,2,1.645
14.88_78.05,14.875707,78.052026,20,18,1.3845
14.93_78.34,14.93036125,78.33993625,8,8,0.7625
15.01_76.9,15.013144102564102,76.8986958974359,39,37,0.868974358974359
15.01_77.0,15.006125588235292,76.99938823529412,34,30,1.8291176470588235
15.02_76.9,15.01539,76.897615,2,2,0.81
15.02_78.01,15.022820580357143,78.01324404017858,448,414,1.4545982142857141
15.02_78.02,15.023016540880503,78.01582094339624,159,151,1.5844654088050314
15.03_78.01,15.025055,78.01206,2,2,0.795
15.03_78.02,15.02513,78.01613,2,2,0.99
15.07_76.86,15.071906386554621,76.86440462184873,119,110,1.2674789915966387
15.07_76.87,15.071111456692913,76.86623618110237,254,234,1.2614173228346455
15.08_76.86,15.07521,76.86497,1,1,0.49
15.08_76.87,15.075356,76.865648,5,5,0.702
15.0_77.0,15.00419125,76.999034375,32,31,1.54
15.12_76.81,15.119013918918919,76.8111577027027,148,141,0.6928378378378379
15.13_76.71,15.13467625,76.70905,8,8,0.7
15.14_76.71,15.137084014598539,76.70914666666667,411,369,0.820705596107056
15.15_76.71,15.150455619469026,76.71037758849558,452,385,0.8704646017699115
15.16_76.38,15.16366448275862,76.38041379310346,29,25,2.6420689655172414
15.17_76.37,15.172751428571429,76.37461964285714,28,27,1.8257142857142856
15.17_76.38,15.171271301813471,76.37857629533679,1544,872,1.5751619170984457
15.17_76.65,15.174213116883116,76.65377012987013,231,221,1.9545021645021645
15.17_76.66,15.173360214446951,76.65952020316027,886,582,2.4394243792325057
15.17_76.67,15.16950568275862,76.66885197241379,725,424,2.324331034482759
15.17_76.68,15.172593155737705,76.68192901639344,244,200,1.737827868852459
15.17_76.69,15.171908961038962,76.68773207792208,77,72,1.0957142857142859
15.17_76.78,15.173411428571429,76.78474285714286,7,7,1.0357142857142858
15.17_76.79,15.17345741935484,76.78635903225806,93,93,1.0393548387096774
15.17_77.1,15.174288823529412,77.10065470588235,17,17,1.174705882352941
15.18_76.37,15.17522,76.37451,1,1,1.86
15.18_76.38,15.175442833333333,76.37750533333333,60,58,1.4896666666666667
15.18_76.63,15.18448,76.633675,2,2,0.6950000000000001
15.18_76.64,15.183502185185183,76.64167803703704,270,211,2.4156666666666666
15.18_76.65,15.178098469387756,76.65306704931973,1176,792,2.3419812925170067
15.18_76.66,15.177572524271843,76.65808810424119,1957,1006,2.706647930505876
15.18_76.67,15.18007794871795,76.66888921568628,663,428,2.294494720965309
15.18_76.68,15.178420361445784,76.67809963855422,415,262,2.3441445783132533
15.18_76.69,15.17505,76.69120000000001,2,2,1.06
15.18_76.78,15.17567,76.785,1,1,0.7
15.18_76.79,15.180005344827585,76.78900862068966,58,54,0.8393103448275862
15.18_77.1,15.178683148648648,77.10294093243243,740,650,1.1930135135135136
15.18_77.11,15.178723170731706,77.10538243902438,41,41,1.0041463414634146
15.19_76.38,15.194659444444445,76.37921833333333,18,18,1.106111111111111
15.19_76.64,15.1858624,76.6406472,125,108,1.80184
15.19_76.65,15.18720791044776,76.65316820895522,67,61,1.9397014925373135
15.19_76.66,15.187509272151898,76.65794047468354,316,261,2.0746835443037974
15.19_76.67,15.185756153846153,76.67302692307693,13,12,1.2653846153846153
15.19_76.68,15.185708333333332,76.67610666666667,6,6,1.5916666666666668
15.19_77.1,15.18668,77.10155333333334,3,3,0.65
15.22_76.76,15.224301034482759,76.76312672413793,58,54,1.4767241379310345
15.22_76.77,15.22406,76.765595,8,8,1.97875
15.23_76.76,15.22606956521739,76.76296032608695,92,88,1.3707608695652174
15.23_76.77,15.226308947368421,76.76552052631578,19,19,1.6694736842105262
15.2_76.38,15.196497142857144,76.37947107142857,84,81,1.4857142857142858
15.31_76.25,15.311313750000002,76.25362041666666,24,23,0.8158333333333333
15.31_76.26,15.314318571428572,76.25615142857143,7,7,0.7642857142857142
15.32_76.23,15.322049999999999,76.23254,5,5,0.434
15.32_76.25,15.315965365853657,76.25382682926829,41,41,1.1665853658536585
15.32_76.26,15.315769285714286,76.2554192857143,14,14,0.9371428571428572
15.33_76.24,15.33132,76.2448,1,1,0.92
15.33_76.25,15.333186666666666,76.24694476190477,42,39,1.1335714285714285
15.33_76.28,15.33344737704918,76.28443778688525,122,121,1.3025409836065573
15.33_76.29,15.333421957186545,76.28629626911315,327,317,1.2306116207951072
15.34_76.25,15.338320000000001,76.25008,3,3,1.1933333333333334
15.34_76.27,15.338555,76.274515,12,11,1.4616666666666667
15.34_76.28,15.33789066246057,76.278481829653,317,247,1.8347634069400631
15.34_76.29,15.3354758,76.2859004,50,50,1.0395999999999999
15.52_73.99,15.524501666666666,73.99437666666667,6,6,1.8933333333333333
15.52_74.0,15.52334023529412,73.99747470588235,85,80,1.156705882352941
15.53_73.99,15.526834649681529,73.99274388535032,314,290,1.4678343949044586
15.53_74.0,15.525347142857143,73.99654285714284,7,6,2.455714285714286
15.66_73.99,15.65850114873035,73.98886385731561,827,661,1.116154776299879
15.68_78.46,15.684211627906977,78.45781906976744,43,43,0.8562790697674418
15.69_78.46,15.685516923076923,78.45773769230769,13,13,0.8607692307692307
15.91_77.36,15.914366734693878,77.36273979591837,49,47,0.8883673469387755
